#,WARD NAME,WARD CODE,LGA NAME,LGA CODE,State Constituency,,Federal Constituency,,Senatorial District,,STATE
70,NGWAOBI,02,ISIALA NGWA SOUTH,07,ISIALA NGWA SOUTH,SC/09/AB,Isiala Ngwa North /Isiala Ngwa South,FC/004/AB,ABIA CENTRAL,SD/002/AB,ABIA
71,MBUTU UKWU,03,ISIALA NGWA SOUTH,07,ISIALA NGWA SOUTH,SC/09/AB,Isiala Ngwa North /Isiala Ngwa South,FC/004/AB,ABIA CENTRAL,SD/002/AB,ABIA
72,MBUTU NGWA,04,ISIALA NGWA SOUTH,07,ISIALA NGWA SOUTH,SC/09/AB,Isiala Ngwa North /Isiala Ngwa South,FC/004/AB,ABIA CENTRAL,SD/002/AB,ABIA
73,EHI NA GURU OSOKWA,05,ISIALA NGWA SOUTH,07,ISIALA NGWA SOUTH,SC/09/AB,Isiala Ngwa North /Isiala Ngwa South,FC/004/AB,ABIA CENTRAL,SD/002/AB,ABIA
74,AKUNEKPU EZIAMA,06,ISIALA NGWA SOUTH,07,ISIALA NGWA SOUTH,SC/09/AB,Isiala Ngwa North /Isiala Ngwa South,FC/004/AB,ABIA CENTRAL,SD/002/AB,ABIA
75,NA OBUBA,07,ISIALA NGWA SOUTH,07,ISIALA NGWA SOUTH,SC/09/AB,Isiala Ngwa North /Isiala Ngwa South,FC/004/AB,ABIA CENTRAL,SD/002/AB,ABIA
76,OVUNGWU,08,ISIALA NGWA SOUTH,07,ISIALA NGWA SOUTH,SC/09/AB,Isiala Ngwa North /Isiala Ngwa South,FC/004/AB,ABIA CENTRAL,SD/002/AB,ABIA
77,OVUOKWU,09,ISIALA NGWA SOUTH,07,ISIALA NGWA SOUTH,SC/09/AB,Isiala Ngwa North /Isiala Ngwa South,FC/004/AB,ABIA CENTRAL,SD/002/AB,ABIA
78,OKPORO AHABA,10,ISIALA NGWA SOUTH,07,ISIALA NGWA SOUTH,SC/09/AB,Isiala Ngwa North /Isiala Ngwa South,FC/004/AB,ABIA CENTRAL,SD/002/AB,ABIA
79,IMENYI,01,ISUIKWUATO,08,ISUIKWUATO,SC/10/AB,Isuikwuato/Umu-Nneochi,FC/005/AB,ABIA NORTH,SD/001/AB,ABIA
80,EZERE,02,ISUIKWUATO,08,ISUIKWUATO,SC/10/AB,Isuikwuato/Umu-Nneochi,FC/005/AB,ABIA NORTH,SD/001/AB,ABIA
81,ISIALA-AMAWU,03,ISUIKWUATO,08,ISUIKWUATO,SC/10/AB,Isuikwuato/Umu-Nneochi,FC/005/AB,ABIA NORTH,SD/001/AB,ABIA
82,ISU-AMAWU,04,ISUIKWUATO,08,ISUIKWUATO,SC/10/AB,Isuikwuato/Umu-Nneochi,FC/005/AB,ABIA NORTH,SD/001/AB,ABIA
83,OGUDUASA,05,ISUIKWUATO,08,ISUIKWUATO,SC/10/AB,Isuikwuato/Umu-Nneochi,FC/005/AB,ABIA NORTH,SD/001/AB,ABIA
84,UMUNNEKWU,06,ISUIKWUATO,08,ISUIKWUATO,SC/10/AB,Isuikwuato/Umu-Nneochi,FC/005/AB,ABIA NORTH,SD/001/AB,ABIA
85,ACHARA/MBAUGWU,07,ISUIKWUATO,08,ISUIKWUATO,SC/10/AB,Isuikwuato/Umu-Nneochi,FC/005/AB,ABIA NORTH,SD/001/AB,ABIA
86,IKEAGHA I,08,ISUIKWUATO,08,ISUIKWUATO,SC/10/AB,Isuikwuato/Umu-Nneochi,FC/005/AB,ABIA NORTH,SD/001/AB,ABIA
87,IKEAGHA II,09,ISUIKWUATO,08,ISUIKWUATO,SC/10/AB,Isuikwuato/Umu-Nneochi,FC/005/AB,ABIA NORTH,SD/001/AB,ABIA
88,UMUANYI/ABSU,10,ISUIKWUATO,08,ISUIKWUATO,SC/10/AB,Isuikwuato/Umu-Nneochi,FC/005/AB,ABIA NORTH,SD/001/AB,ABIA
89,ABAYI I,01,OBINGWA,09,OBINGWA EAST,SC/11/AB,Obingwa/Ugwunagbo/Osisioma,FC/006/AB,ABIA SOUTH,SD/003/AB,ABIA
90,ABAYI II,02,OBINGWA,09,OBINGWA EAST,SC/11/AB,Obingwa/Ugwunagbo/Osisioma,FC/006/AB,ABIA SOUTH,SD/003/AB,ABIA
91,MGBOKO UMUANUNU,03,OBINGWA,09,OBINGWA EAST,SC/11/AB,Obingwa/Ugwunagbo/Osisioma,FC/006/AB,ABIA SOUTH,SD/003/AB,ABIA
92,MGBOKO ITUN GWA,04,OBINGWA,09,OBINGWA EAST,SC/11/AB,Obingwa/Ugwunagbo/Osisioma,FC/006/AB,ABIA SOUTH,SD/003/AB,ABIA
93,AHIABA,05,OBINGWA,09,OBINGWA EAST,SC/11/AB,Obingwa/Ugwunagbo/Osisioma,FC/006/AB,ABIA SOUTH,SD/003/AB,ABIA
94,MGBOKO AMAIRI,06,OBINGWA,09,OBINGWA WEST,SC/12/AB,Obingwa/Ugwunagbo/Osisioma,FC/006/AB,ABIA SOUTH,SD/003/AB,ABIA
95,ALAUKWU OHANZE,07,OBINGWA,09,OBINGWA WEST,SC/12/AB,Obingwa/Ugwunagbo/Osisioma,FC/006/AB,ABIA SOUTH,SD/003/AB,ABIA
96,AKUMAIMO,08,OBINGWA,09,OBINGWA WEST,SC/12/AB,Obingwa/Ugwunagbo/Osisioma,FC/006/AB,ABIA SOUTH,SD/003/AB,ABIA
97,NDIAKATA/AMAIRINABUA,09,OBINGWA,09,OBINGWA WEST,SC/12/AB,Obingwa/Ugwunagbo/Osisioma,FC/006/AB,ABIA SOUTH,SD/003/AB,ABIA
98,NTIGHAUZO AMAIRI,10,OBINGWA,09,OBINGWA WEST,SC/12/AB,Obingwa/Ugwunagbo/Osisioma,FC/006/AB,ABIA SOUTH,SD/003/AB,ABIA
99,IBEME,11,OBINGWA,09,,,Obingwa/Ugwunagbo/Osisioma,FC/006/AB,ABIA SOUTH,SD/003/AB,ABIA
100,ISAMA OHAFIA,01,OHAFIA,10,OHAFIA NORTH,SC/13/AB,Arochukwu/Ohafia,FC/002/AB,ABIA NORTH,SD/001/AB,ABIA
101,EBEM OHAFIA,02,OHAFIA,10,OHAFIA NORTH,SC/13/AB,Arochukwu/Ohafia,FC/002/AB,ABIA NORTH,SD/001/AB,ABIA
102,NDI ELU NKPORO,03,OHAFIA,10,OHAFIA NORTH,SC/13/AB,Arochukwu/Ohafia,FC/002/AB,ABIA NORTH,SD/001/AB,ABIA
103,NDI ETITI NKPORO,04,OHAFIA,10,OHAFIA NORTH,SC/13/AB,Arochukwu/Ohafia,FC/002/AB,ABIA NORTH,SD/001/AB,ABIA
104,AMAEKE ABIRIBA,05,OHAFIA,10,OHAFIA NORTH,SC/13/AB,Arochukwu/Ohafia,FC/002/AB,ABIA NORTH,SD/001/AB,ABIA
105,AMAOGUDU ABIRIBA,06,OHAFIA,10,OHAFIA NORTH,SC/13/AB,Arochukwu/Ohafia,FC/002/AB,ABIA NORTH,SD/001/AB,ABIA
106,AGBOJI ABIRIBA,07,OHAFIA,10,OHAFIA SOUTH,SC/14/AB,Arochukwu/Ohafia,FC/002/AB,ABIA NORTH,SD/001/AB,ABIA
107,OHAFOR OHAFIA,08,OHAFIA,10,OHAFIA SOUTH,SC/14/AB,Arochukwu/Ohafia,FC/002/AB,ABIA NORTH,SD/001/AB,ABIA
108,OKAMU OHAFIA,09,OHAFIA,10,OHAFIA SOUTH,SC/14/AB,Arochukwu/Ohafia,FC/002/AB,ABIA NORTH,SD/001/AB,ABIA
109,ANIA OHAFIA,10,OHAFIA,10,OHAFIA SOUTH,SC/14/AB,Arochukwu/Ohafia,FC/002/AB,ABIA NORTH,SD/001/AB,ABIA
110,NDI AGBO NKPORO,11,OHAFIA,10,OHAFIA SOUTH,SC/14/AB,Arochukwu/Ohafia,FC/002/AB,ABIA NORTH,SD/001/AB,ABIA
111,AMAVO,01,OSISIOMA,11,OSISIOMA SOUTH,SC/16/AB,Obingwa/Ugwunagbo/Osisioma,FC/006/AB,ABIA SOUTH,SD/003/AB,ABIA
112,AMAITOLU-MBUTU UMUOJIMA,02,OSISIOMA,11,OSISIOMA SOUTH,SC/16/AB,Obingwa/Ugwunagbo/Osisioma,FC/006/AB,ABIA SOUTH,SD/003/AB,ABIA
113,AMASATOR,03,OSISIOMA,11,OSISIOMA SOUTH,SC/16/AB,Obingwa/Ugwunagbo/Osisioma,FC/006/AB,ABIA SOUTH,SD/003/AB,ABIA
114,ARO-NGWA,04,OSISIOMA,11,OSISIOMA SOUTH,SC/16/AB,Obingwa/Ugwunagbo/Osisioma,FC/006/AB,ABIA SOUTH,SD/003/AB,ABIA
115,AMA-ASAA,05,OSISIOMA,11,OSISIOMA SOUTH,SC/16/AB,Obingwa/Ugwunagbo/Osisioma,FC/006/AB,ABIA SOUTH,SD/003/AB,ABIA
116,OSO-OKWA,06,OSISIOMA,11,OSISIOMA SOUTH,SC/16/AB,Obingwa/Ugwunagbo/Osisioma,FC/006/AB,ABIA SOUTH,SD/003/AB,ABIA
117,URATTA,07,OSISIOMA,11,OSISIOMA SOUTH,SC/16/AB,Obingwa/Ugwunagbo/Osisioma,FC/006/AB,ABIA SOUTH,SD/003/AB,ABIA
118,AMATOR,08,OSISIOMA,11,OSISIOMA SOUTH,SC/16/AB,Obingwa/Ugwunagbo/Osisioma,FC/006/AB,ABIA SOUTH,SD/003/AB,ABIA
119,UMUNNEISE,09,OSISIOMA,11,OSISIOMA NORTH,SC/15/AB,Obingwa/Ugwunagbo/Osisioma,FC/006/AB,ABIA SOUTH,SD/003/AB,ABIA
120,OKPU-UMUOBO,10,OSISIOMA,11,OSISIOMA NORTH,SC/15/AB,Obingwa/Ugwunagbo/Osisioma,FC/006/AB,ABIA SOUTH,SD/003/AB,ABIA
,,11,OSISIOMA,11,OSISIOMA NORTH,SC/15/AB,Obingwa/Ugwunagbo/Osisioma,FC/006/AB,ABIA SOUTH,SD/003/AB,
,,12,OSISIOMA,11,OSISIOMA NORTH,SC/15/AB,Obingwa/Ugwunagbo/Osisioma,FC/006/AB,ABIA SOUTH,SD/003/AB,
,,13,OSISIOMA,11,OSISIOMA NORTH,SC/15/AB,Obingwa/Ugwunagbo/Osisioma,FC/006/AB,ABIA SOUTH,SD/003/AB,
121,WARD ONE,01,UGWUNAGBO,12,UGWUNA AGBO L.G.A,SC/18/AB,Obingwa/Ugwunagbo/Osisioma,FC/006/AB,ABIA SOUTH,SD/003/AB,ABIA
122,WARD TWO,02,UGWUNAGBO,12,UGWUNA AGBO L.G.A,SC/18/AB,Obingwa/Ugwunagbo/Osisioma,FC/006/AB,ABIA SOUTH,SD/003/AB,ABIA
123,WARD THREE,03,UGWUNAGBO,12,UGWUNA AGBO L.G.A,SC/18/AB,Obingwa/Ugwunagbo/Osisioma,FC/006/AB,ABIA SOUTH,SD/003/AB,ABIA
124,WARD FOUR,04,UGWUNAGBO,12,UGWUNA AGBO L.G.A,SC/18/AB,Obingwa/Ugwunagbo/Osisioma,FC/006/AB,ABIA SOUTH,SD/003/AB,ABIA
125,WARD FIVE,05,UGWUNAGBO,12,UGWUNA AGBO L.G.A,SC/18/AB,Obingwa/Ugwunagbo/Osisioma,FC/006/AB,ABIA SOUTH,SD/003/AB,ABIA
126,WARD SIX,06,UGWUNAGBO,12,UGWUNA AGBO L.G.A,SC/18/AB,Obingwa/Ugwunagbo/Osisioma,FC/006/AB,ABIA SOUTH,SD/003/AB,ABIA
127,WARD SEVEN,07,UGWUNAGBO,12,UGWUNA AGBO L.G.A,SC/18/AB,Obingwa/Ugwunagbo/Osisioma,FC/006/AB,ABIA SOUTH,SD/003/AB,ABIA
128,WARD EIGHT,08,UGWUNAGBO,12,UGWUNA AGBO L.G.A,SC/18/AB,Obingwa/Ugwunagbo/Osisioma,FC/006/AB,ABIA SOUTH,SD/003/AB,ABIA
129,WARD NINE,09,UGWUNAGBO,12,UGWUNA AGBO L.G.A,SC/18/AB,Obingwa/Ugwunagbo/Osisioma,FC/006/AB,ABIA SOUTH,SD/003/AB,ABIA
130,WARD TEN,10,UGWUNAGBO,12,UGWUNA AGBO L.G.A,SC/18/AB,Obingwa/Ugwunagbo/Osisioma,FC/006/AB,ABIA SOUTH,SD/003/AB,ABIA
131,IKWURIATOR EAST,01,UKWA EAST,13,UKWA EAST,SC/19/AB,Ukwa East/Ukwa West,FC/008/AB,ABIA SOUTH,SD/003/AB,ABIA
132,IKURIATOR WEST,02,UKWA EAST,13,UKWA EAST,SC/19/AB,Ukwa East/Ukwa West,FC/008/AB,ABIA SOUTH,SD/003/AB,ABIA
133,AZUMINI,03,UKWA EAST,13,UKWA EAST,SC/19/AB,Ukwa East/Ukwa West,FC/008/AB,ABIA SOUTH,SD/003/AB,ABIA
134,UMUIGUBE ACHARA,04,UKWA EAST,13,UKWA EAST,SC/19/AB,Ukwa East/Ukwa West,FC/008/AB,ABIA SOUTH,SD/003/AB,ABIA
135,AKWETE,05,UKWA EAST,13,UKWA EAST,SC/19/AB,Ukwa East/Ukwa West,FC/008/AB,ABIA SOUTH,SD/003/AB,ABIA
136,OBOHIA,06,UKWA EAST,13,UKWA EAST,SC/19/AB,Ukwa East/Ukwa West,FC/008/AB,ABIA SOUTH,SD/003/AB,ABIA
137,IKWUEKE EAST,07,UKWA EAST,13,UKWA EAST,SC/19/AB,Ukwa East/Ukwa West,FC/008/AB,ABIA SOUTH,SD/003/AB,ABIA
138,IKWUEKE WEST,08,UKWA EAST,13,UKWA EAST,SC/19/AB,Ukwa East/Ukwa West,FC/008/AB,ABIA SOUTH,SD/003/AB,ABIA
139,NKPOROBE/OHURU,09,UKWA EAST,13,UKWA EAST,SC/19/AB,Ukwa East/Ukwa West,FC/008/AB,ABIA SOUTH,SD/003/AB,ABIA
140,IKWUORIE,10,UKWA EAST,13,UKWA EAST,SC/19/AB,Ukwa East/Ukwa West,FC/008/AB,ABIA SOUTH,SD/003/AB,ABIA
141,ASA NORTH,01,UKWA WEST,14,UKWA WEST,SC/20/AB,Ukwa East/Ukwa West,FC/008/AB,ABIA SOUTH,SD/003/AB,ABIA
142,OBOKWE,02,UKWA WEST,14,UKWA WEST,SC/20/AB,Ukwa East/Ukwa West,FC/008/AB,ABIA SOUTH,SD/003/AB,ABIA
143,OGWE,03,UKWA WEST,14,UKWA WEST,SC/20/AB,Ukwa East/Ukwa West,FC/008/AB,ABIA SOUTH,SD/003/AB,ABIA
144,ASA SOUTH,04,UKWA WEST,14,UKWA WEST,SC/20/AB,Ukwa East/Ukwa West,FC/008/AB,ABIA SOUTH,SD/003/AB,ABIA
145,OBUZOR,05,UKWA WEST,14,UKWA WEST,SC/20/AB,Ukwa East/Ukwa West,FC/008/AB,ABIA SOUTH,SD/003/AB,ABIA
146,IPU WEST,06,UKWA WEST,14,UKWA WEST,SC/20/AB,Ukwa East/Ukwa West,FC/008/AB,ABIA SOUTH,SD/003/AB,ABIA
147,IPU EAST,07,UKWA WEST,14,UKWA WEST,SC/20/AB,Ukwa East/Ukwa West,FC/008/AB,ABIA SOUTH,SD/003/AB,ABIA
148,IPU SOUTH,08,UKWA WEST,14,UKWA WEST,SC/20/AB,Ukwa East/Ukwa West,FC/008/AB,ABIA SOUTH,SD/003/AB,ABIA
149,OZAA UKWU,09,UKWA WEST,14,UKWA WEST,SC/20/AB,Ukwa East/Ukwa West,FC/008/AB,ABIA SOUTH,SD/003/AB,ABIA
150,OZAA WEST,10,UKWA WEST,14,UKWA WEST,SC/20/AB,Ukwa East/Ukwa West,FC/008/AB,ABIA SOUTH,SD/003/AB,ABIA
151,IBEKU EAST I,01,UMUAHIA NORTH,15,,,Umuahia North/ Umuahia South/ Ikwuano,FC/007/AB,ABIA CENTRAL,SD/002/AB,ABIA
152,IBEKU EAST II,02,UMUAHIA NORTH,15,,,Umuahia North/ Umuahia South/ Ikwuano,FC/007/AB,ABIA CENTRAL,SD/002/AB,ABIA
153,NDUME,03,UMUAHIA NORTH,15,,,Umuahia North/ Umuahia South/ Ikwuano,FC/007/AB,ABIA CENTRAL,SD/002/AB,ABIA
154,IBEKU WEST,04,UMUAHIA NORTH,15,,,Umuahia North/ Umuahia South/ Ikwuano,FC/007/AB,ABIA CENTRAL,SD/002/AB,ABIA
